File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001RBZ	fastq	reads	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001RCA		15272204974	Thomas Gingeras, CSHL	103fec7ed350ccf1ec9f923ed0e08831	SRA:SRR3192378	https://www.encodeproject.org/files/ENCFF001RBZ/@@download/ENCFF001RBZ.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RCA	fastq	reads	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001RBZ		15527679684	Thomas Gingeras, CSHL	d8cd8b6306a15cff64fb7876c2bfcd40	SRA:SRR3192378	https://www.encodeproject.org/files/ENCFF001RCA/@@download/ENCFF001RCA.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RDO	fastq	reads	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001RDN		19506950353	Thomas Gingeras, CSHL	50602f909279860e378c1aff0bf5d831	SRA:SRR3192379	https://www.encodeproject.org/files/ENCFF001RDO/@@download/ENCFF001RDO.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RDN	fastq	reads	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001RDO		19758451488	Thomas Gingeras, CSHL	b5ad07d57df34086f96bb37714875c92	SRA:SRR3192379	https://www.encodeproject.org/files/ENCFF001RDN/@@download/ENCFF001RDN.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZL	fastq	reads	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001QZM		17691360235	Thomas Gingeras, CSHL	9f41b45b04c05009aae74dccf09f1757	SRA:SRR3192389	https://www.encodeproject.org/files/ENCFF001QZL/@@download/ENCFF001QZL.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZM	fastq	reads	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001QZL		17288415161	Thomas Gingeras, CSHL	01bc436de7212dda80333b98216ba7c1	SRA:SRR3192389	https://www.encodeproject.org/files/ENCFF001QZM/@@download/ENCFF001QZM.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RDQ	fastq	reads	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001RDP		17186374922	Thomas Gingeras, CSHL	b903cdc46149362d468a2c588dcf3a8e	SRA:SRR3192388	https://www.encodeproject.org/files/ENCFF001RDQ/@@download/ENCFF001RDQ.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RDP	fastq	reads	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001RDQ		15345454964	Thomas Gingeras, CSHL	55149d34449923154913bcf0602e0082	SRA:SRR3192388	https://www.encodeproject.org/files/ENCFF001RDP/@@download/ENCFF001RDP.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAZ	fastq	reads	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001RBA		15473664525	Thomas Gingeras, CSHL	8cf6a430a99c6cd7c403d5054ba79751	SRA:SRR3192394	https://www.encodeproject.org/files/ENCFF001RAZ/@@download/ENCFF001RAZ.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RBA	fastq	reads	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001RAZ		15096519765	Thomas Gingeras, CSHL	9af58ec9590749ad06bdd55a58a758c9	SRA:SRR3192394	https://www.encodeproject.org/files/ENCFF001RBA/@@download/ENCFF001RBA.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
